ModelId,VertexOrder,R,G,B
3,0,1,0,0
3,1,0,1,0.5
3,2,0.5877852,0.809017,0.5
3,3,1,0,0
3,4,0.5877852,0.809017,0.5
3,5,0.9510565,0.309017,0.5
3,6,1,0,0
3,7,0.9510565,0.309017,0.5
3,8,0.9510565,-0.3090171,0.5
3,9,1,0,0
3,10,0.9510565,-0.3090171,0.5
3,11,0.5877852,-0.809017,0.5
3,12,1,0,0
3,13,0.5877852,-0.809017,0.5
3,14,0,1,0.5
3,15,0,0,1
3,16,0.5877852,0.809017,0.5
3,17,0,1,0.5
3,18,0,0,1
3,19,0.9510565,0.309017,0.5
3,20,0.5877852,0.809017,0.5
3,21,0,0,1
3,22,0.9510565,-0.3090171,0.5
3,23,0.9510565,0.309017,0.5
3,24,0,0,1
3,25,0.5877852,-0.809017,0.5
3,26,0.9510565,-0.3090171,0.5
3,27,0,0,1
3,28,0,1,0.5
3,29,0.5877852,-0.809017,0.5
