ModelId,VertexOrder,X,Y,Z
3,0,0,1.5,0
3,1,1,0,0
3,2,0.309017,0,0.9510565
3,3,0,1.5,0
3,4,0.309017,0,0.9510565
3,5,-0.8090171,0,0.5877852
3,6,0,1.5,0
3,7,-0.8090171,0,0.5877852
3,8,-0.8090169,0,-0.5877854
3,9,0,1.5,0
3,10,-0.8090169,0,-0.5877854
3,11,0.3090171,0,-0.9510565
3,12,0,1.5,0
3,13,0.3090171,0,-0.9510565
3,14,1,0,0
3,15,0,-1.5,0
3,16,0.309017,0,0.9510565
3,17,1,0,0
3,18,0,-1.5,0
3,19,-0.8090171,0,0.5877852
3,20,0.309017,0,0.9510565
3,21,0,-1.5,0
3,22,-0.8090169,0,-0.5877854
3,23,-0.8090171,0,0.5877852
3,24,0,-1.5,0
3,25,0.3090171,0,-0.9510565
3,26,-0.8090169,0,-0.5877854
3,27,0,-1.5,0
3,28,1,0,0
3,29,0.3090171,0,-0.9510565
